info @storybook/react v6.1.15
info 
info => Cleaning outputDir /tmp/chromatic--52269-gRr0kOkvSQM6
info => Copying static files from: public
info => Using prebuilt manager
info => Building preview..
info => Loading preview config..
info => Loading presets
info => Loading 1 config file in "./.storybook"
info => Loading 7 other files in "./.storybook"
info => Adding stories defined in ".storybook/main.js"
info => Loading Webpack configuration from `node_modules/react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack setup
info => Compiling preview..
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/core/dist/server/common/polyfills.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/core/dist/server/preview/globals.js /home/tatu/Gitrepot/Storybook/taskbox/.storybook/storybook-init-framework-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/common/config.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-links/dist/preset/addDecorator.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-actions/dist/preset/addDecorator.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-actions/dist/preset/addArgs.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-backgrounds/dist/preset/addDecorator.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-backgrounds/dist/preset/addParameter.js-generated-other-entry.js /home/tatu/Gitrepot/Storybook/taskbox/.storybook/preview.js-generated-config-entry.js /home/tatu/Gitrepot/Storybook/taskbox/.storybook/generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 68% building 1040/1058 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/each.js
<s> [webpack.Progress] 68% building 1040/1059 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_hasUnicode.js
<s> [webpack.Progress] 68% building 1041/1059 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_hasUnicode.js
<s> [webpack.Progress] 69% building 1042/1059 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_hasUnicode.js
<s> [webpack.Progress] 69% building 1043/1059 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_hasUnicode.js
<s> [webpack.Progress] 69% building 1044/1059 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_hasUnicode.js
<s> [webpack.Progress] 69% building 1045/1059 modules 14 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_hasUnicode.js
<s> [webpack.Progress] 69% building 1046/1059 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_hasUnicode.js
<s> [webpack.Progress] 69% building 1047/1059 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_hasUnicode.js
<s> [webpack.Progress] 69% building 1047/1060 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/is-alphanumerical/index.js
<s> [webpack.Progress] 69% building 1048/1060 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/is-alphanumerical/index.js
<s> [webpack.Progress] 69% building 1049/1060 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/is-alphanumerical/index.js
<s> [webpack.Progress] 69% building 1050/1060 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/is-alphanumerical/index.js
<s> [webpack.Progress] 69% building 1050/1061 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/ansi-to-html/node_modules/entities/index.js
<s> [webpack.Progress] 69% building 1051/1061 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/ansi-to-html/node_modules/entities/index.js
<s> [webpack.Progress] 69% building 1052/1061 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/ansi-to-html/node_modules/entities/index.js
<s> [webpack.Progress] 69% building 1053/1061 modules 8 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/ansi-to-html/node_modules/entities/index.js
<s> [webpack.Progress] 69% building 1053/1062 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.prototype.finally/node_modules/es-abstract/helpers/isNaN.js
<s> [webpack.Progress] 69% building 1053/1063 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/channel-postmessage/node_modules/qs/lib/stringify.js
<s> [webpack.Progress] 69% building 1054/1063 modules 9 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/channel-postmessage/node_modules/qs/lib/stringify.js
<s> [webpack.Progress] 69% building 1054/1064 modules 10 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-get-iterator/index.js
<s> [webpack.Progress] 69% building 1054/1065 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/iterate-iterator/index.js
<s> [webpack.Progress] 69% building 1054/1066 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/channel-postmessage/node_modules/qs/lib/formats.js
<s> [webpack.Progress] 69% building 1054/1067 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_Stack.js
<s> [webpack.Progress] 69% building 1055/1067 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_Stack.js
<s> [webpack.Progress] 69% building 1055/1068 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_safeGet.js
<s> [webpack.Progress] 69% building 1056/1068 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_safeGet.js
<s> [webpack.Progress] 69% building 1056/1069 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/keysIn.js
<s> [webpack.Progress] 69% building 1057/1069 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/keysIn.js
<s> [webpack.Progress] 69% building 1058/1069 modules 11 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/keysIn.js
<s> [webpack.Progress] 69% building 1058/1070 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseRest.js
<s> [webpack.Progress] 69% building 1058/1071 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.prototype.finally/node_modules/es-abstract/helpers/assertRecord.js
<s> [webpack.Progress] 69% building 1059/1071 modules 12 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.prototype.finally/node_modules/es-abstract/helpers/assertRecord.js
<s> [webpack.Progress] 69% building 1059/1072 modules 13 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/ToUint32.js
<s> [webpack.Progress] 69% building 1059/1073 modules 14 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/UTF16DecodeSurrogatePair.js
<s> [webpack.Progress] 69% building 1059/1074 modules 15 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseMatches.js
<s> [webpack.Progress] 69% building 1059/1075 modules 16 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseEach.js
<s> [webpack.Progress] 69% building 1059/1076 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/isArrayLike.js
<s> [webpack.Progress] 68% building 1059/1077 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/property.js
<s> [webpack.Progress] 68% building 1059/1078 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/helpers/isTrailingSurrogate.js
<s> [webpack.Progress] 68% building 1059/1079 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/helpers/isLeadingSurrogate.js
<s> [webpack.Progress] 68% building 1059/1080 modules 21 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/property-information/find.js
<s> [webpack.Progress] 68% building 1059/1081 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/reactcss/lib/index.js
<s> [webpack.Progress] 68% building 1059/1082 modules 23 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/material-colors/dist/colors.es2015.js
<s> [webpack.Progress] 68% building 1060/1082 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/material-colors/dist/colors.es2015.js
<s> [webpack.Progress] 68% building 1060/1083 modules 23 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/identity.js
<s> [webpack.Progress] 68% building 1061/1083 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/identity.js
<s> [webpack.Progress] 68% building 1061/1084 modules 23 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseMatchesProperty.js
<s> [webpack.Progress] 68% building 1061/1085 modules 24 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/forEach.js
<s> [webpack.Progress] 68% building 1062/1085 modules 23 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/forEach.js
<s> [webpack.Progress] 68% building 1063/1085 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/forEach.js
<s> [webpack.Progress] 68% building 1064/1085 modules 21 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/forEach.js
<s> [webpack.Progress] 68% building 1065/1085 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/forEach.js
<s> [webpack.Progress] 68% building 1065/1086 modules 21 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/2020/IsAccessorDescriptor.js
<s> [webpack.Progress] 68% building 1065/1087 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/util/support/isBufferBrowser.js
<s> [webpack.Progress] 68% building 1065/1088 modules 23 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.prototype.finally/node_modules/es-abstract/helpers/callBound.js
<s> [webpack.Progress] 68% building 1066/1088 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.prototype.finally/node_modules/es-abstract/helpers/callBound.js
<s> [webpack.Progress] 68% building 1067/1088 modules 21 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.prototype.finally/node_modules/es-abstract/helpers/callBound.js
<s> [webpack.Progress] 68% building 1068/1088 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.prototype.finally/node_modules/es-abstract/helpers/callBound.js
<s> [webpack.Progress] 68% building 1069/1088 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.prototype.finally/node_modules/es-abstract/helpers/callBound.js
<s> [webpack.Progress] 68% building 1069/1089 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/helpers/isPropertyDescriptor.js
<s> [webpack.Progress] 68% building 1070/1089 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/helpers/isPropertyDescriptor.js
<s> [webpack.Progress] 69% building 1071/1089 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/es-abstract/helpers/isPropertyDescriptor.js
<s> [webpack.Progress] 68% building 1071/1090 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/isUndefined.js
<s> [webpack.Progress] 69% building 1072/1090 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/isUndefined.js
<s> [webpack.Progress] 68% building 1072/1091 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/channel-postmessage/node_modules/qs/lib/parse.js
<s> [webpack.Progress] 68% building 1072/1092 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/promise.prototype.finally/node_modules/es-abstract/2018/ToBoolean.js
<s> [webpack.Progress] 68% building 1072/1093 modules 21 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/property-information/normalize.js
<s> [webpack.Progress] 68% building 1072/1094 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_isIterateeCall.js
<s> [webpack.Progress] 68% building 1072/1095 modules 23 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/isObject.js
<s> [webpack.Progress] 68% building 1072/1096 modules 24 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseMergeDeep.js
<s> [webpack.Progress] 68% building 1072/1097 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseFor.js
<s> [webpack.Progress] 68% building 1072/1098 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_assignMergeValue.js
<s> [webpack.Progress] 68% building 1073/1098 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_assignMergeValue.js
<s> [webpack.Progress] 68% building 1073/1099 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-color/es/components/slider/SliderSwatches.js
<s> [webpack.Progress] 68% building 1073/1100 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-popper/lib/esm/utils.js
<s> [webpack.Progress] 68% building 1074/1100 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-popper/lib/esm/utils.js
<s> [webpack.Progress] 68% building 1075/1100 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-popper/lib/esm/utils.js
<s> [webpack.Progress] 68% building 1076/1100 modules 24 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-popper/lib/esm/utils.js
<s> [webpack.Progress] 68% building 1077/1100 modules 23 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-popper/lib/esm/utils.js
<s> [webpack.Progress] 68% building 1078/1100 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-popper/lib/esm/utils.js
<s> [webpack.Progress] 68% building 1079/1100 modules 21 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-popper/lib/esm/utils.js
<s> [webpack.Progress] 68% building 1080/1100 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-popper/lib/esm/utils.js
<s> [webpack.Progress] 68% building 1081/1100 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-popper/lib/esm/utils.js
<s> [webpack.Progress] 69% building 1082/1100 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-popper/lib/esm/utils.js
<s> [webpack.Progress] 69% building 1083/1100 modules 17 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-popper/lib/esm/utils.js
<s> [webpack.Progress] 69% building 1083/1101 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-color/es/components/sketch/SketchFields.js
<s> [webpack.Progress] 68% building 1083/1102 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_ListCache.js
<s> [webpack.Progress] 68% building 1083/1103 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_stackSet.js
<s> [webpack.Progress] 68% building 1084/1103 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_stackSet.js
<s> [webpack.Progress] 68% building 1084/1104 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_arrayLikeKeys.js
<s> [webpack.Progress] 68% building 1085/1104 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_arrayLikeKeys.js
<s> [webpack.Progress] 68% building 1085/1105 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_setToString.js
<s> [webpack.Progress] 68% building 1086/1105 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_setToString.js
<s> [webpack.Progress] 69% building 1087/1105 modules 18 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_setToString.js
<s> [webpack.Progress] 68% building 1087/1106 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/ansi-to-html/node_modules/entities/lib/encode.js
<s> [webpack.Progress] 68% building 1087/1107 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/ansi-to-html/node_modules/entities/lib/decode.js
<s> [webpack.Progress] 68% building 1088/1107 modules 19 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/ansi-to-html/node_modules/entities/lib/decode.js
<s> [webpack.Progress] 68% building 1088/1108 modules 20 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_overRest.js
<s> [webpack.Progress] 68% building 1088/1109 modules 21 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseKeysIn.js
<s> [webpack.Progress] 68% building 1088/1110 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_stackHas.js
<s> [webpack.Progress] 68% building 1088/1111 modules 23 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_stackGet.js
<s> [webpack.Progress] 68% building 1088/1112 modules 24 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_stackDelete.js
<s> [webpack.Progress] 68% building 1088/1113 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_stackClear.js
<s> [webpack.Progress] 68% building 1089/1113 modules 24 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_stackClear.js
<s> [webpack.Progress] 68% building 1089/1114 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseForOwn.js
<s> [webpack.Progress] 68% building 1089/1115 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseIsMatch.js
<s> [webpack.Progress] 68% building 1089/1116 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/isFunction.js
<s> [webpack.Progress] 68% building 1090/1116 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/isFunction.js
<s> [webpack.Progress] 68% building 1090/1117 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@storybook/addon-docs/dist/frameworks/react/lib/inspection/types.js
<s> [webpack.Progress] 68% building 1090/1118 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseProperty.js
<s> [webpack.Progress] 68% building 1090/1119 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-color/es/components/common/Alpha.js
<s> [webpack.Progress] 68% building 1091/1119 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-color/es/components/common/Alpha.js
<s> [webpack.Progress] 68% building 1092/1119 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-color/es/components/common/Alpha.js
<s> [webpack.Progress] 68% building 1092/1120 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_toKey.js
<s> [webpack.Progress] 68% building 1093/1120 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_toKey.js
<s> [webpack.Progress] 68% building 1094/1120 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_toKey.js
<s> [webpack.Progress] 68% building 1095/1120 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_toKey.js
<s> [webpack.Progress] 68% building 1096/1120 modules 24 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_toKey.js
<s> [webpack.Progress] 68% building 1097/1120 modules 23 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_toKey.js
<s> [webpack.Progress] 68% building 1098/1120 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_toKey.js
<s> [webpack.Progress] 68% building 1099/1120 modules 21 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_toKey.js
<s> [webpack.Progress] 68% building 1099/1121 modules 22 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/property-information/lib/html.js
<s> [webpack.Progress] 68% building 1099/1122 modules 23 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-color/es/components/common/Swatch.js
<s> [webpack.Progress] 68% building 1099/1123 modules 24 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/property-information/lib/util/merge.js
<s> [webpack.Progress] 68% building 1099/1124 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@icons/material/UnfoldMoreHorizontalIcon.js
<s> [webpack.Progress] 68% building 1099/1125 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/@icons/material/CheckIcon.js
<s> [webpack.Progress] 68% building 1099/1126 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/tinycolor2/tinycolor.js
<s> [webpack.Progress] 68% building 1099/1127 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseIsEqual.js
<s> [webpack.Progress] 68% building 1099/1128 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_basePropertyOf.js
<s> [webpack.Progress] 68% building 1099/1129 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_arrayEach.js
<s> [webpack.Progress] 68% building 1100/1129 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_arrayEach.js
<s> [webpack.Progress] 68% building 1101/1129 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_arrayEach.js
<s> [webpack.Progress] 68% building 1101/1130 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_castFunction.js
<s> [webpack.Progress] 68% building 1102/1130 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_castFunction.js
<s> [webpack.Progress] 68% building 1102/1131 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_baseSlice.js
<s> [webpack.Progress] 68% building 1103/1131 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_baseSlice.js
<s> [webpack.Progress] 68% building 1104/1131 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_baseSlice.js
<s> [webpack.Progress] 68% building 1104/1132 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_asciiToArray.js
<s> [webpack.Progress] 68% building 1105/1132 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_asciiToArray.js
<s> [webpack.Progress] 68% building 1105/1133 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_matchesStrictComparable.js
<s> [webpack.Progress] 68% building 1105/1134 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-color/es/components/common/Saturation.js
<s> [webpack.Progress] 68% building 1105/1135 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_unicodeToArray.js
<s> [webpack.Progress] 68% building 1106/1135 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_unicodeToArray.js
<s> [webpack.Progress] 68% building 1107/1135 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/_unicodeToArray.js
<s> [webpack.Progress] 68% building 1107/1136 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-color/es/components/common/Raised.js
<s> [webpack.Progress] 68% building 1107/1137 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_isStrictComparable.js
<s> [webpack.Progress] 68% building 1108/1137 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_isStrictComparable.js
<s> [webpack.Progress] 68% building 1109/1137 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_isStrictComparable.js
<s> [webpack.Progress] 68% building 1110/1137 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_isStrictComparable.js
<s> [webpack.Progress] 68% building 1111/1137 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_isStrictComparable.js
<s> [webpack.Progress] 68% building 1112/1137 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_isStrictComparable.js
<s> [webpack.Progress] 68% building 1113/1137 modules 24 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_isStrictComparable.js
<s> [webpack.Progress] 68% building 1113/1138 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_isKey.js
<s> [webpack.Progress] 68% building 1113/1139 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/hasIn.js
<s> [webpack.Progress] 68% building 1113/1140 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash/get.js
<s> [webpack.Progress] 68% building 1113/1141 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/get.js
<s> [webpack.Progress] 68% building 1113/1142 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/eq.js
<s> [webpack.Progress] 68% building 1113/1143 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/toPlainObject.js
<s> [webpack.Progress] 68% building 1113/1144 modules 31 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_createBaseFor.js
<s> [webpack.Progress] 68% building 1113/1145 modules 32 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseAssignValue.js
<s> [webpack.Progress] 68% building 1114/1145 modules 31 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseAssignValue.js
<s> [webpack.Progress] 68% building 1115/1145 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseAssignValue.js
<s> [webpack.Progress] 68% building 1116/1145 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseAssignValue.js
<s> [webpack.Progress] 68% building 1117/1145 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseAssignValue.js
<s> [webpack.Progress] 68% building 1118/1145 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseAssignValue.js
<s> [webpack.Progress] 68% building 1119/1145 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseAssignValue.js
<s> [webpack.Progress] 68% building 1120/1145 modules 25 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/lodash-es/_baseAssignValue.js
<s> [webpack.Progress] 68% building 1120/1146 modules 26 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/property-information/lib/aria.js
<s> [webpack.Progress] 68% building 1120/1147 modules 27 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/property-information/lib/xmlns.js
<s> [webpack.Progress] 68% building 1120/1148 modules 28 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/property-information/lib/xml.js
<s> [webpack.Progress] 68% building 1120/1149 modules 29 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/property-information/lib/xlink.js
<s> [webpack.Progress] 68% building 1120/1150 modules 30 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-color/es/components/common/Hue.js
<s> [webpack.Progress] 68% building 1120/1151 modules 31 active /home/tatu/Gitrepot/Storybook/taskbox/node_modules/react-color/es/components/common/EditableInput.js
